We,are,the,Knights,Who,Say,Ni!
l,0.0632772931848917,1.162422142606528,t,d,-1.0121930416768559,0.19513780060300637
l,0.3089562535882853,0.1120851614617821,p,f,-0.995340025116235,1.3151554663102558
h,0.5055171832178085,-0.43145856640554914,d,c,-0.6148217365210313,1.0387669923666292
p,1.7155856035835262,-1.3881536390039615,q,i,-0.9682009154461474,-2.1637900544427797
u,0.2571696150243199,-0.7914790410701863,b,f,-0.3119435443785486,-0.2742974677133685
d,-0.3516180077323401,-0.061469715796624344,q,s,1.2256807989097198,-0.3355180823305465
s,-0.10334710587733809,1.6492879870312538,y,j,0.5558184364349352,-1.3703347621044215
h,-1.322518306084306,0.4456731282340061,v,x,0.16438391765385343,1.0016576590463782
e,0.29724347123367106,-1.194422048635308,o,c,1.9296282054194105,-0.34278433687319027
k,-0.5598931081227,-1.7752814735654978,v,k,1.4107769793016005,1.598247757635509
f,0.4551694381045859,1.4244350508029913,j,p,1.1141263927011413,0.13997049821470106
v,-1.0609820225674798,-0.11206427335388922,p,u,2.04177008083854,-0.7849365923499836
i,1.0008616405013055,-0.6523888866823678,s,z,-3.0721638799875994,-0.18656270518199983
m,0.4597016707660354,2.0078497681393004,t,b,-1.233336435679154,1.304997411642006
i,0.2958877274406729,-1.4594809076909008,g,k,0.2806062628585081,1.3739996014239027
l,0.5821540902758515,-0.8932190205800106,p,e,0.4907400694622056,-0.2574515508099583
l,-1.5154202074860776,0.9238986127701634,i,w,-0.2573113034149713,0.09317565920545806
g,0.8983073746882713,-0.9554271030164972,u,y,0.6177446045783583,-1.3198008080300663
u,0.6664850139530462,0.3459986297248006,i,e,-0.038377507952978555,-0.5577352238367361
g,0.3187663265188815,-0.013408947277998592,f,p,1.730778941837901,-0.8591126208632456
c,0.18333749277719844,2.88170155435074,j,m,0.059128105546419084,-1.100930821892182
d,2.396377758901666,-0.29816680229449816,p,u,-0.2879620567046747,-0.18590403138872852
p,0.5594574385947748,0.7461930096116988,a,m,0.5434830915139286,-0.499062641360023
p,0.5566346500274153,1.892234075242014,z,j,0.6666462812062558,1.2551111495478287
v,-0.45258898477430737,1.255861809435237,o,m,0.4651040123395423,-2.088590154598894
j,0.17226283658091396,0.16402017614224199,m,i,0.2510490546645653,-2.0093510613634806
a,-1.1205499080694767,0.07098783964544293,q,s,0.2619457880467212,-0.5375292686952333
l,1.072323283617067,1.1562059186381357,w,u,1.6713382230560236,-0.8941095638734667
x,0.897381136342821,0.2977731349586227,r,v,0.44656285735205786,0.3192000230415092
k,-0.8857405656621724,-1.4303430598484568,y,f,1.342940888669826,0.48978208654682387
k,-0.74181922548707,-0.051634978986406406,o,i,-0.13469638759339167,-0.2522029518222304
d,-1.7621403945515568,1.831448219438575,e,s,0.8681118752234682,-0.7556871570408085
p,-0.37797575869265754,-0.19473578208367184,r,h,-0.610393919027281,-0.43154303436564617
u,-1.6044802166398582,0.3328248473515062,q,l,-0.9562607997230668,0.6610934677794114
u,-0.5489913704156163,-0.05315137724426475,k,o,-0.6063798419575378,-0.22969345318872553
k,1.5136539992103533,0.5971699468847355,t,e,0.3157723431970865,0.4218686813011375
b,0.09377158806603854,0.10467297765593699,r,h,-2.0025327706670923,-0.1211422980169825
k,0.8789598343063908,-0.1531341604588918,w,k,-0.49443210665749704,-0.7771304451004444
t,-0.30241560322703526,1.10005121179816,o,v,2.1032685472082076,0.30606522565119315
q,-0.9076840132588645,-0.36789182911173524,h,u,-0.11844125622110149,0.2784027757103844
f,-0.4491249669385103,0.5396185796898619,q,j,-1.6452430874820014,-0.051904322172598306
